6,0 161.056 3 53.685,0 52.000,0 51.552 57.504 3.314,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.248 3 72.416,0 70.080,0 69.664 77.504 4.411,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.520 3 71.840,0 69.504,0 68.832 77.184 4.640,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 112.736 3 37.578,0 35.648,0 35.648 41.440 3.344,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.408 3 72.469,0 70.720,0 69.504 77.184 4.128,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.816 3 71.605,0 69.536,0 69.248 76.032 3.836,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.752 3 71.584,0 69.920,0 68.736 76.096 3.952,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.808 3 71.936,0 70.368,0 68.672 76.768 4.269,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.376 3 72.458,0 70.912,0 69.056 77.408 4.385,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.376 3 72.458,0 70.304,0 69.632 77.440 4.327,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.168 3 71.722,0 70.368,0 68.672 76.128 3.908,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.768 3 72.256,0 70.432,0 69.408 76.928 4.078,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.592 3 71.530,0 69.760,0 68.672 76.160 4.045,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 70.464,0 68.800 76.128 3.841,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 70.528,0 69.504 76.160 3.584,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.904 3 71.968,0 69.632,0 69.536 76.736 4.129,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.256 3 72.085,0 70.304,0 68.640 77.312 4.602,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.488 3 71.829,0 70.144,0 69.024 76.320 3.929,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.992 3 72.330,0 70.880,0 68.768 77.344 4.468,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.232 3 71.744,0 70.336,0 68.736 76.160 3.907,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.688 3 71.562,0 69.920,0 68.672 76.096 3.975,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 215.456 3 71.818,0 69.408,0 68.768 77.280 4.740,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.040 3 71.680,0 69.984,0 68.736 76.320 4.066,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.928 3 72.309,0 70.752,0 68.736 77.440 4.556,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.896 3 72.298,0 70.720,0 69.504 76.672 3.835,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.616 3 71.872,0 69.696,0 68.672 77.248 4.683,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.320 3 72.106,0 70.528,0 68.736 77.056 4.378,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.360 3 71.786,0 70.400,0 68.704 76.256 3.962,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.808 3 71.936,0 70.560,0 68.704 76.544 4.097,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.536 3 72.512,0 70.944,0 69.184 77.408 4.330,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.296 3 71.765,0 69.760,0 68.640 76.896 4.478,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.976 3 71.658,0 69.920,0 68.672 76.384 4.139,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.880 3 71.626,0 69.824,0 68.640 76.416 4.189,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.384 3 72.128,0 70.112,0 68.928 77.344 4.555,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 70.656,0 68.704 76.032 3.795,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.048 3 71.349,0 69.376,0 68.736 75.936 3.985,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.960 3 72.320,0 70.464,0 69.344 77.152 4.221,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.288 3 72.096,0 70.400,0 69.216 76.672 4.006,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.536 3 72.512,0 71.040,0 68.800 77.696 4.627,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.424 3 71.808,0 70.368,0 68.672 76.384 4.052,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.896 3 53.632,0 52.416,0 52.032 56.448 2.446,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.288 3 72.096,0 70.208,0 68.672 77.408 4.664,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.496 3 71.498,0 69.216,0 68.640 76.640 4.461,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.688 3 71.562,0 69.952,0 68.640 76.096 3.980,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.776 3 71.925,0 70.528,0 68.704 76.544 4.102,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.680 3 71.893,0 70.592,0 68.704 76.384 4.002,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.872 3 71.957,0 70.400,0 68.608 76.864 4.342,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.136 3 71.712,0 69.824,0 69.120 76.192 3.895,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.720 3 71.573,0 69.248,0 68.768 76.704 4.449,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.704 3 72.234,0 70.656,0 68.928 77.120 4.318,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.064 3 72.021,0 70.208,0 69.632 76.224 3.651,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.768 3 72.256,0 70.368,0 69.024 77.376 4.484,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.656 3 71.552,0 69.760,0 68.736 76.160 4.023,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.360 3 71.786,0 70.016,0 68.800 76.544 4.164,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.640 3 53.546,0 52.512,0 51.520 56.608 2.697,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.520 3 71.840,0 69.632,0 68.736 77.152 4.622,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.152 3 72.384,0 70.688,0 68.768 77.696 4.699,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.352 3 72.117,0 69.888,0 69.600 76.864 4.113,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.824 3 72.608,0 70.880,0 69.600 77.344 4.151,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.128 3 72.042,0 69.888,0 69.568 76.672 4.012,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.416 3 72.138,0 70.048,0 68.800 77.568 4.743,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 215.040 3 71.680,0 70.176,0 68.640 76.224 4.009,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.672 3 72.224,0 70.656,0 69.440 76.576 3.817,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.936 3 71.978,0 70.432,0 68.736 76.768 4.233,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.928 3 72.309,0 69.856,0 69.600 77.472 4.472,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.120 3 72.373,0 70.816,0 68.704 77.600 4.648,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.168 3 71.722,0 69.952,0 68.672 76.544 4.224,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.328 3 71.776,0 70.304,0 68.704 76.320 4.015,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.032 3 72.010,0 69.952,0 68.672 77.408 4.717,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.528 3 71.509,0 69.760,0 68.768 76.000 3.920,0 CUDA_KERNEL lud_perimeter(float *, int, int)
7,0 215.296 3 71.765,0 69.568,0 69.440 76.288 3.917,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.480 3 72.160,0 70.304,0 69.088 77.088 4.310,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.424 3 71.808,0 69.888,0 68.704 76.832 4.391,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.120 3 72.373,0 70.752,0 69.056 77.312 4.360,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.232 3 71.744,0 69.760,0 68.928 76.544 4.177,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.536 3 72.512,0 70.752,0 69.536 77.248 4.146,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.032 3 72.010,0 69.856,0 68.992 77.184 4.501,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.480 3 72.160,0 70.464,0 68.704 77.312 4.547,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.584 3 71.861,0 70.496,0 68.768 76.320 3.956,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.552 3 71.850,0 70.304,0 68.768 76.480 4.082,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.104 3 71.701,0 69.792,0 68.608 76.704 4.372,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.232 3 71.744,0 69.920,0 68.640 76.672 4.315,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.152 3 72.384,0 70.368,0 69.632 77.152 4.145,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.616 3 71.872,0 70.144,0 68.640 76.832 4.360,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.872 3 71.957,0 69.856,0 68.704 77.312 4.672,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.488 3 71.829,0 70.496,0 68.672 76.320 3.994,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.136 3 71.712,0 69.824,0 68.736 76.576 4.247,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.488 3 71.829,0 69.920,0 69.024 76.544 4.107,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.200 3 71.733,0 69.888,0 69.088 76.224 3.909,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.000 3 72.000,0 69.568,0 69.248 77.184 4.492,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.944 3 71.648,0 69.472,0 69.344 76.128 3.880,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.800 3 72.266,0 70.336,0 68.928 77.536 4.617,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.648 3 71.882,0 69.696,0 68.672 77.280 4.702,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.816 3 71.605,0 69.856,0 68.768 76.192 4.009,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.032 3 72.010,0 69.888,0 68.832 77.312 4.621,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.800 3 72.266,0 70.880,0 68.736 77.184 4.391,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.480 3 72.160,0 70.752,0 69.216 76.512 3.846,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.736 3 72.245,0 70.304,0 69.056 77.376 4.486,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.032 3 72.010,0 69.920,0 69.504 76.608 3.986,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.360 3 71.786,0 69.728,0 69.184 76.448 4.046,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.296 3 71.765,0 70.144,0 68.640 76.512 4.179,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.264 3 71.754,0 69.824,0 68.768 76.672 4.291,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.680 3 71.893,0 70.464,0 68.768 76.448 4.034,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.808 3 71.936,0 70.368,0 69.216 76.224 3.757,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.928 3 72.309,0 70.336,0 69.792 76.800 3.898,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 111.776 3 37.258,0 35.360,0 34.432 41.984 4.118,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.352 3 72.117,0 70.368,0 68.672 77.312 4.577,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.296 3 71.765,0 69.344,0 68.640 77.312 4.816,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.320 3 72.106,0 70.208,0 69.024 77.088 4.354,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.096 3 72.032,0 70.816,0 68.960 76.320 3.827,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 70.784,0 68.672 76.736 4.181,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.384 3 72.128,0 70.304,0 69.184 76.896 4.167,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.008 3 71.669,0 69.664,0 69.056 76.288 4.011,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.432 3 71.477,0 69.600,0 68.704 76.128 4.052,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.976 3 71.658,0 70.400,0 68.608 75.968 3.838,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.632 3 72.544,0 71.424,0 69.344 76.864 3.883,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.072 3 71.690,0 69.792,0 68.640 76.640 4.324,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.672 3 72.224,0 69.696,0 69.600 77.376 4.462,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.264 3 71.754,0 69.536,0 68.832 76.896 4.466,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 69.600,0 69.184 76.608 4.171,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.448 3 72.149,0 69.952,0 68.992 77.504 4.662,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.800 3 72.266,0 70.784,0 68.800 77.216 4.399,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.456 3 71.818,0 70.048,0 68.640 76.768 4.343,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.216 3 72.405,0 70.304,0 69.376 77.536 4.467,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.456 3 71.818,0 70.304,0 68.672 76.480 4.118,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 70.368,0 68.736 76.288 3.973,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.808 3 71.936,0 69.824,0 68.704 77.280 4.661,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.072 3 71.690,0 69.920,0 68.640 76.512 4.224,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 69.984,0 68.704 76.704 4.297,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.312 3 72.437,0 70.848,0 69.088 77.376 4.366,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.424 3 71.808,0 70.304,0 68.704 76.416 4.070,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.296 3 71.765,0 70.400,0 68.672 76.224 3.956,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.976 3 71.658,0 70.208,0 68.704 76.064 3.888,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.832 3 72.277,0 70.912,0 68.672 77.248 4.448,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.616 3 71.872,0 70.560,0 68.736 76.320 3.958,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.864 3 72.288,0 69.728,0 69.600 77.536 4.545,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.360 3 71.786,0 70.432,0 68.704 76.224 3.938,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.024 3 72.341,0 70.848,0 68.608 77.568 4.662,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.808 3 71.936,0 70.048,0 69.024 76.736 4.188,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.320 3 72.106,0 69.760,0 69.184 77.376 4.572,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.776 3 71.925,0 69.632,0 69.216 76.928 4.337,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.088 3 72.362,0 70.816,0 68.960 77.312 4.385,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.712 3 71.904,0 70.496,0 68.672 76.544 4.120,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.904 3 71.968,0 70.752,0 68.736 76.416 3.981,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.544 3 72.181,0 70.368,0 68.672 77.504 4.686,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 69.824,0 68.928 77.440 4.677,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.520 3 71.840,0 70.464,0 68.736 76.320 3.974,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.648 3 71.882,0 69.984,0 69.312 76.352 3.885,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.032 3 72.010,0 69.632,0 69.568 76.832 4.175,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.224 3 72.074,0 70.464,0 68.736 77.024 4.372,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.736 3 72.245,0 70.528,0 69.056 77.152 4.312,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.360 3 71.786,0 69.920,0 69.312 76.128 3.772,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.544 3 72.181,0 70.368,0 69.536 76.640 3.883,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 69.792,0 69.120 77.280 4.529,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.816 3 71.605,0 69.792,0 68.672 76.352 4.148,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.216 3 72.405,0 70.464,0 68.768 77.984 4.905,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.864 3 72.288,0 70.432,0 68.672 77.760 4.819,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.544 3 72.181,0 69.952,0 68.704 77.888 4.981,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.352 3 72.117,0 69.984,0 69.728 76.640 3.918,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.376 3 72.458,0 70.304,0 69.600 77.472 4.355,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.704 3 72.234,0 70.336,0 68.704 77.664 4.772,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.680 3 71.893,0 69.888,0 68.800 76.992 4.449,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.776 3 71.925,0 70.400,0 68.736 76.640 4.166,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.584 3 71.861,0 69.760,0 68.608 77.216 4.672,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.224 3 72.074,0 70.112,0 68.672 77.440 4.702,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.312 3 72.437,0 70.816,0 69.536 76.960 3.968,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.928 3 72.309,0 70.528,0 69.184 77.216 4.302,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.160 3 72.053,0 70.528,0 68.736 76.896 4.288,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.256 3 72.085,0 70.976,0 69.280 76.000 3.494,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.264 3 71.754,0 69.728,0 69.536 76.000 3.677,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.360 3 71.786,0 70.016,0 68.736 76.608 4.224,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.768 3 72.256,0 71.136,0 68.736 76.896 4.193,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 70.592,0 68.704 76.896 4.289,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.224 3 72.074,0 70.016,0 68.608 77.600 4.836,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.704 3 72.234,0 70.240,0 69.056 77.408 4.519,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.904 3 71.968,0 69.888,0 68.736 77.280 4.636,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.368 3 71.456,0 69.536,0 68.640 76.192 4.125,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.512 3 72.170,0 69.664,0 69.184 77.664 4.763,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.352 3 72.117,0 70.336,0 69.760 76.256 3.595,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.032 3 72.010,0 70.432,0 69.440 76.160 3.627,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.088 3 72.362,0 70.944,0 68.768 77.376 4.475,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 215.840 3 71.946,0 69.920,0 69.152 76.768 4.193,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.552 3 71.850,0 69.792,0 68.768 76.992 4.481,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.552 3 71.850,0 69.344,0 69.120 77.088 4.537,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.328 3 71.776,0 70.368,0 68.736 76.224 3.937,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.136 3 71.712,0 70.016,0 68.864 76.256 3.977,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.232 3 71.744,0 70.272,0 68.736 76.224 3.955,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.072 3 71.690,0 69.600,0 69.184 76.288 3.986,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.168 3 71.722,0 69.824,0 69.088 76.256 3.943,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.552 3 71.850,0 70.560,0 68.768 76.224 3.892,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.448 3 72.149,0 69.600,0 69.376 77.472 4.610,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.488 3 71.829,0 70.368,0 68.672 76.448 4.088,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.512 3 72.170,0 70.176,0 69.152 77.184 4.371,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.288 3 72.096,0 69.696,0 68.704 77.888 5.040,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.256 3 72.085,0 69.984,0 69.504 76.768 4.062,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.328 3 71.776,0 70.112,0 68.704 76.512 4.161,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.840 3 71.946,0 69.952,0 68.576 77.312 4.697,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.712 3 71.904,0 70.336,0 68.992 76.384 3.937,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.232 3 71.744,0 70.144,0 68.640 76.448 4.142,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.968 3 71.989,0 69.920,0 69.536 76.512 3.921,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.936 3 71.978,0 70.304,0 69.472 76.160 3.645,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 69.824,0 68.736 76.832 4.394,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.648 3 71.882,0 70.336,0 68.672 76.640 4.203,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.896 3 72.298,0 70.144,0 69.440 77.312 4.355,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.424 3 71.808,0 69.856,0 68.704 76.864 4.416,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.736 3 72.245,0 70.784,0 68.800 77.152 4.363,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.280 3 72.426,0 70.944,0 69.088 77.248 4.277,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.224 3 72.074,0 70.304,0 68.672 77.248 4.553,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 118.560 3 39.520,0 37.344,0 37.344 43.872 3.768,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 113.536 3 37.845,0 35.712,0 35.104 42.720 4.232,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.992 3 72.330,0 70.752,0 68.640 77.600 4.684,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.200 3 71.733,0 69.888,0 68.608 76.704 4.352,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.552 3 71.850,0 69.760,0 68.672 77.120 4.595,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.448 3 72.149,0 69.888,0 69.056 77.504 4.655,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.456 3 71.818,0 69.984,0 68.736 76.736 4.304,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.488 3 71.829,0 69.920,0 68.640 76.928 4.461,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.768 3 72.256,0 70.816,0 69.760 76.192 3.449,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.168 3 71.722,0 69.664,0 68.768 76.736 4.364,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.456 3 71.818,0 70.464,0 68.672 76.320 3.999,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.976 3 71.658,0 69.440,0 69.248 76.288 4.010,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.712 3 71.904,0 70.528,0 68.736 76.448 4.035,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.384 3 72.128,0 69.856,0 69.088 77.440 4.616,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.640 3 72.213,0 70.880,0 68.608 77.152 4.425,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.928 3 72.309,0 70.336,0 69.120 77.472 4.512,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.136 3 71.712,0 69.920,0 68.608 76.608 4.290,0 CUDA_KERNEL lud_perimeter(float *, int, int)
