8,0 191.840 4 47.960,0 47.040,0 46.752 51.008 2.047,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.112 4 64.528,0 63.088,0 62.304 69.632 3.424,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.184 4 64.296,0 62.560,0 62.304 69.760 3.649,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 132.672 4 33.168,0 32.032,0 31.584 37.024 2.580,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.184 4 64.296,0 62.768,0 62.336 69.312 3.366,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.960 4 64.240,0 62.624,0 62.368 69.344 3.411,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.312 4 64.328,0 62.944,0 62.304 69.120 3.209,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.800 4 64.200,0 62.368,0 62.336 69.728 3.685,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.952 4 64.488,0 62.768,0 62.400 70.016 3.697,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.160 4 64.040,0 62.352,0 62.304 69.152 3.408,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.880 4 64.720,0 62.816,0 62.368 70.880 4.128,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.624 4 64.656,0 63.008,0 62.496 70.112 3.645,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.440 4 64.360,0 62.368,0 62.336 70.368 4.005,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.536 4 64.384,0 63.120,0 62.400 68.896 3.027,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.184 4 64.296,0 63.104,0 62.336 68.640 2.922,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.952 4 64.488,0 63.008,0 62.336 69.600 3.422,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.568 4 64.392,0 62.784,0 62.336 69.664 3.528,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.896 4 64.224,0 62.480,0 62.304 69.632 3.608,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.032 4 64.008,0 62.352,0 62.304 69.024 3.344,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.504 4 64.376,0 62.560,0 62.272 70.112 3.830,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.824 4 64.456,0 63.088,0 62.368 69.280 3.233,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 258.400 4 64.600,0 63.136,0 62.400 69.728 3.438,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.808 4 63.952,0 62.480,0 62.304 68.544 3.065,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.992 4 64.248,0 62.768,0 62.304 69.152 3.290,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.672 4 64.168,0 62.352,0 62.304 69.664 3.664,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.088 4 64.272,0 62.608,0 62.272 69.600 3.559,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.304 4 64.576,0 62.976,0 62.304 70.048 3.691,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.016 4 64.504,0 63.168,0 62.336 69.344 3.251,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.568 4 64.392,0 62.368,0 62.304 70.528 4.090,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.312 4 64.328,0 62.816,0 62.336 69.344 3.361,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.896 4 64.224,0 62.400,0 62.368 69.728 3.669,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.568 4 64.392,0 62.592,0 62.432 69.952 3.708,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.344 4 64.336,0 62.832,0 62.368 69.312 3.343,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.824 4 64.456,0 62.832,0 62.336 69.824 3.603,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.952 4 64.488,0 63.168,0 62.304 69.312 3.241,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.800 4 64.200,0 62.912,0 62.368 68.608 2.952,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.728 4 64.432,0 63.008,0 62.368 69.344 3.288,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.960 4 64.240,0 62.544,0 62.400 69.472 3.489,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.352 4 64.088,0 62.576,0 62.304 68.896 3.208,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.960 4 64.240,0 63.104,0 62.336 68.416 2.807,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 192.256 4 48.064,0 46.832,0 46.688 51.904 2.562,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.664 4 64.416,0 63.232,0 62.304 68.896 3.019,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.240 4 64.560,0 63.024,0 62.368 69.824 3.523,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.792 4 64.448,0 62.800,0 62.368 69.824 3.596,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.832 4 64.208,0 62.368,0 62.272 69.824 3.744,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.440 4 64.360,0 62.848,0 62.304 69.440 3.422,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.088 4 64.272,0 62.800,0 62.368 69.120 3.257,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.408 4 64.352,0 62.864,0 62.336 69.344 3.353,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.728 4 64.432,0 62.640,0 62.336 70.112 3.794,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.240 4 64.560,0 63.056,0 62.368 69.760 3.485,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.632 4 64.408,0 62.832,0 62.336 69.632 3.492,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.456 4 63.864,0 62.384,0 62.336 68.352 2.992,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.216 4 64.304,0 62.736,0 62.336 69.408 3.418,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.184 4 64.296,0 62.944,0 62.304 68.992 3.158,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 191.904 4 47.976,0 46.896,0 46.720 51.392 2.279,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.312 4 64.328,0 63.168,0 62.336 68.640 2.901,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.576 4 64.144,0 62.544,0 62.368 69.120 3.320,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.280 4 64.320,0 62.368,0 62.304 70.240 3.947,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.280 4 64.320,0 62.880,0 62.272 69.248 3.304,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.816 4 64.704,0 62.976,0 62.496 70.368 3.782,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.920 4 64.480,0 63.232,0 62.336 69.120 3.122,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.312 4 64.328,0 62.816,0 62.368 69.312 3.349,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.560 4 64.640,0 63.024,0 62.688 69.824 3.459,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.808 4 63.952,0 62.352,0 62.336 68.768 3.210,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.512 4 64.128,0 62.688,0 62.368 68.768 3.104,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.856 4 64.464,0 63.072,0 62.464 69.248 3.202,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.528 4 64.632,0 62.752,0 62.304 70.720 4.078,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.504 4 64.376,0 62.720,0 62.272 69.792 3.630,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 62.768,0 62.752 68.864 3.050,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.568 4 64.392,0 62.928,0 62.368 69.344 3.315,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.440 4 64.360,0 63.248,0 62.304 68.640 2.892,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.400 4 64.600,0 63.056,0 62.336 69.952 3.589,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.760 4 64.440,0 62.960,0 62.336 69.504 3.388,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.000 4 64.000,0 62.576,0 62.368 68.480 2.993,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.056 4 64.264,0 62.368,0 62.304 70.016 3.834,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.000 4 64.000,0 62.320,0 62.240 69.120 3.413,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.608 4 64.152,0 62.480,0 62.336 69.312 3.441,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.192 4 64.048,0 62.736,0 62.272 68.448 2.954,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.856 4 64.464,0 63.120,0 62.432 69.184 3.163,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.832 4 64.208,0 62.832,0 62.368 68.800 3.079,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.576 4 64.144,0 62.352,0 62.272 69.600 3.637,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.816 4 64.704,0 63.136,0 62.464 70.080 3.598,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.568 4 64.392,0 62.720,0 62.336 69.792 3.616,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.952 4 64.488,0 63.008,0 62.368 69.568 3.400,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.064 4 64.016,0 62.400,0 62.336 68.928 3.275,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 62.960,0 62.336 68.896 3.086,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.792 4 64.448,0 63.264,0 62.400 68.864 2.972,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.320 4 64.080,0 62.448,0 62.336 69.088 3.339,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.080 4 64.520,0 63.264,0 62.304 69.248 3.184,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 259.136 4 64.784,0 63.200,0 62.368 70.368 3.743,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.024 4 64.256,0 62.800,0 62.240 69.184 3.317,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.752 4 64.688,0 63.248,0 62.336 69.920 3.514,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.296 4 63.824,0 62.368,0 62.336 68.224 2.933,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.056 4 64.264,0 62.752,0 62.368 69.184 3.297,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.216 4 64.304,0 62.496,0 62.304 69.920 3.746,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.512 4 64.128,0 62.688,0 62.368 68.768 3.105,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 255.872 4 63.968,0 62.464,0 62.272 68.672 3.140,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.688 4 64.672,0 62.768,0 62.400 70.752 4.068,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.472 4 64.368,0 62.672,0 62.240 69.888 3.695,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.896 4 64.224,0 62.656,0 62.304 69.280 3.384,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.272 4 64.568,0 63.168,0 62.368 69.568 3.356,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.144 4 64.536,0 62.832,0 62.336 70.144 3.746,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.288 4 64.072,0 62.368,0 62.272 69.280 3.472,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.320 4 64.080,0 62.432,0 62.368 69.088 3.338,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.056 4 64.264,0 62.720,0 62.336 69.280 3.359,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 132.128 4 33.032,0 31.824,0 31.360 37.120 2.735,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 63.024,0 62.272 68.832 3.053,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.336 4 64.584,0 63.056,0 62.464 69.760 3.466,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 259.072 4 64.768,0 63.104,0 62.368 70.496 3.838,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.640 4 64.160,0 62.672,0 62.336 68.960 3.204,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.344 4 64.336,0 62.432,0 62.368 70.112 3.851,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.480 4 64.120,0 62.720,0 62.368 68.672 3.050,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.800 4 64.200,0 62.752,0 62.304 68.992 3.202,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.280 4 64.320,0 62.496,0 62.368 69.920 3.733,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.544 4 64.136,0 62.416,0 62.304 69.408 3.515,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.344 4 64.336,0 62.864,0 62.400 69.216 3.272,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.144 4 64.536,0 62.816,0 62.336 70.176 3.784,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.032 4 64.008,0 62.384,0 62.368 68.896 3.258,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.240 4 64.560,0 62.992,0 62.368 69.888 3.567,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.952 4 64.488,0 63.152,0 62.336 69.312 3.240,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.952 4 64.488,0 63.008,0 62.560 69.376 3.278,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.160 4 64.040,0 62.640,0 62.336 68.544 3.014,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.832 4 64.208,0 62.336,0 62.304 69.856 3.765,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.992 4 64.248,0 63.056,0 62.336 68.544 2.884,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.504 4 64.376,0 62.800,0 62.368 69.536 3.455,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.768 4 64.192,0 62.576,0 62.304 69.312 3.421,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.760 4 64.440,0 63.184,0 62.272 69.120 3.151,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.288 4 64.072,0 62.368,0 62.336 69.216 3.429,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.048 4 64.512,0 62.896,0 62.336 69.920 3.627,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.992 4 64.248,0 62.736,0 62.336 69.184 3.297,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.864 4 64.216,0 62.640,0 62.592 68.992 3.184,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.368 4 64.592,0 63.136,0 63.008 69.088 2.998,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.672 4 64.168,0 62.336,0 62.272 69.728 3.706,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.632 4 64.408,0 62.720,0 62.400 69.792 3.602,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.432 4 64.608,0 63.120,0 62.336 69.856 3.518,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.632 4 64.408,0 63.104,0 62.336 69.088 3.140,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 62.640,0 62.336 69.536 3.508,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.992 4 64.248,0 62.864,0 62.336 68.928 3.144,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.696 4 64.424,0 62.448,0 62.304 70.496 4.048,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.216 4 64.304,0 62.832,0 62.368 69.184 3.270,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.504 4 64.376,0 62.944,0 62.272 69.344 3.337,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.992 4 64.248,0 62.848,0 62.272 69.024 3.226,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.176 4 64.544,0 63.136,0 62.368 69.536 3.347,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 62.848,0 62.272 69.184 3.277,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.184 4 64.296,0 62.688,0 62.336 69.472 3.464,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.896 4 64.224,0 62.384,0 62.368 69.760 3.690,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.864 4 64.216,0 62.976,0 62.336 68.576 2.922,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.048 4 64.512,0 63.008,0 62.272 69.760 3.517,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 62.944,0 62.368 68.896 3.084,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.288 4 64.072,0 62.784,0 62.304 68.416 2.921,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.928 4 64.232,0 62.720,0 62.336 69.152 3.291,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.632 4 64.408,0 62.992,0 62.272 69.376 3.329,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.736 4 64.184,0 62.784,0 62.336 68.832 3.124,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.640 4 64.160,0 62.368,0 62.304 69.600 3.626,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.992 4 64.248,0 62.400,0 62.272 69.920 3.782,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.512 4 64.128,0 62.720,0 62.336 68.736 3.090,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.792 4 64.448,0 62.656,0 62.304 70.176 3.828,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.624 4 64.656,0 62.976,0 62.720 69.952 3.537,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.760 4 64.440,0 62.624,0 62.400 70.112 3.787,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.344 4 64.336,0 62.384,0 62.272 70.304 3.979,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.312 4 64.328,0 62.768,0 62.336 69.440 3.427,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.080 4 64.520,0 63.184,0 62.688 69.024 3.012,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.160 4 64.040,0 62.592,0 62.336 68.640 3.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.272 4 64.568,0 63.216,0 62.336 69.504 3.319,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.984 4 64.496,0 63.008,0 62.336 69.632 3.442,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.888 4 64.472,0 62.800,0 62.368 69.920 3.650,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.384 4 64.096,0 62.560,0 62.336 68.928 3.228,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.664 4 64.416,0 62.576,0 62.272 70.240 3.889,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.224 4 64.056,0 62.640,0 62.304 68.640 3.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.664 4 64.416,0 63.216,0 62.304 68.928 3.039,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.536 4 64.384,0 62.848,0 62.368 69.472 3.401,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.808 4 63.952,0 62.464,0 62.304 68.576 3.084,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.728 4 64.432,0 62.928,0 62.368 69.504 3.400,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.440 4 64.360,0 62.976,0 62.336 69.152 3.211,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.216 4 64.304,0 62.464,0 62.336 69.952 3.767,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.552 4 63.888,0 62.352,0 62.304 68.544 3.104,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.184 4 64.296,0 62.400,0 62.336 70.048 3.834,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.544 4 64.136,0 62.720,0 62.368 68.736 3.082,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.536 4 64.384,0 62.688,0 62.336 69.824 3.641,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.208 4 64.552,0 63.024,0 62.304 69.856 3.552,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.824 4 64.456,0 63.024,0 62.560 69.216 3.195,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 257.024 4 64.256,0 62.960,0 62.336 68.768 3.024,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.248 4 64.312,0 62.880,0 62.304 69.184 3.261,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.560 4 64.640,0 62.736,0 62.304 70.784 4.104,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 62.656,0 62.400 69.440 3.441,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.216 4 64.304,0 62.384,0 62.336 70.112 3.872,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.440 4 64.360,0 62.784,0 62.304 69.568 3.495,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.792 4 64.448,0 62.832,0 62.336 69.792 3.590,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.176 4 64.544,0 63.152,0 62.368 69.504 3.327,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.832 4 64.208,0 62.688,0 62.368 69.088 3.265,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.536 4 64.384,0 62.880,0 62.304 69.472 3.404,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.344 4 64.336,0 62.672,0 62.240 69.760 3.634,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.416 4 64.104,0 62.416,0 62.368 69.216 3.408,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.496 4 64.624,0 62.912,0 62.336 70.336 3.820,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.864 4 64.216,0 62.432,0 62.304 69.696 3.654,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.960 4 64.240,0 62.736,0 62.336 69.152 3.293,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.376 4 64.344,0 62.736,0 62.272 69.632 3.549,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.968 4 63.992,0 62.336,0 62.304 68.992 3.333,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.320 4 64.080,0 62.704,0 62.272 68.640 3.054,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.024 4 64.256,0 62.864,0 62.304 68.992 3.169,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.440 4 64.360,0 62.896,0 62.304 69.344 3.337,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.664 4 64.416,0 62.720,0 62.304 69.920 3.683,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.128 4 64.032,0 62.592,0 62.304 68.640 3.080,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.928 4 64.232,0 62.928,0 62.432 68.640 2.969,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.016 4 64.504,0 63.184,0 62.400 69.248 3.184,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.088 4 64.272,0 62.736,0 62.272 69.344 3.399,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.224 4 64.056,0 62.624,0 62.368 68.608 3.038,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.312 4 64.328,0 62.848,0 62.432 69.184 3.258,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 140.096 4 35.024,0 33.920,0 33.120 39.136 2.767,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 133.344 4 33.336,0 32.144,0 31.552 37.504 2.792,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.160 4 64.040,0 62.368,0 62.304 69.120 3.386,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.176 4 64.544,0 63.088,0 62.400 69.600 3.386,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.640 4 64.160,0 62.384,0 62.304 69.568 3.605,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.736 4 64.184,0 62.496,0 62.368 69.376 3.462,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 259.264 4 64.816,0 63.152,0 62.368 70.592 3.868,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 255.904 4 63.976,0 62.384,0 62.336 68.800 3.216,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.224 4 64.056,0 62.352,0 62.336 69.184 3.418,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.208 4 64.552,0 63.024,0 62.368 69.792 3.514,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.800 4 64.200,0 62.656,0 62.240 69.248 3.379,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.416 4 64.104,0 62.736,0 62.272 68.672 3.061,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.216 4 64.304,0 62.336,0 62.304 70.240 3.957,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.544 4 64.136,0 62.528,0 62.432 69.056 3.281,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.152 4 64.288,0 62.832,0 62.336 69.152 3.276,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.568 4 64.392,0 62.752,0 62.400 69.664 3.521,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.728 4 64.432,0 62.960,0 62.368 69.440 3.351,0 CUDA_KERNEL lud_diagonal(float *, int, int)
