1.4 2355936 1 2355936.0 2355936.0 2355936 2355936 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3828224 1 3828224.0 3828224.0 3828224 3828224 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3907968 1 3907968.0 3907968.0 3907968 3907968 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3893280 1 3893280.0 3893280.0 3893280 3893280 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3886528 1 3886528.0 3886528.0 3886528 3886528 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3875520 1 3875520.0 3875520.0 3875520 3875520 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3892416 1 3892416.0 3892416.0 3892416 3892416 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3857408 1 3857408.0 3857408.0 3857408 3857408 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3881280 1 3881280.0 3881280.0 3881280 3881280 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3885696 1 3885696.0 3885696.0 3885696 3885696 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3893440 1 3893440.0 3893440.0 3893440 3893440 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3865760 1 3865760.0 3865760.0 3865760 3865760 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3878688 1 3878688.0 3878688.0 3878688 3878688 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3861760 1 3861760.0 3861760.0 3861760 3861760 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3872608 1 3872608.0 3872608.0 3872608 3872608 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3840992 1 3840992.0 3840992.0 3840992 3840992 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3918944 1 3918944.0 3918944.0 3918944 3918944 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.6 2921280 1 2921280.0 2921280.0 2921280 2921280 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3853600 1 3853600.0 3853600.0 3853600 3853600 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3854656 1 3854656.0 3854656.0 3854656 3854656 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3850336 1 3850336.0 3850336.0 3850336 3850336 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3839392 1 3839392.0 3839392.0 3839392 3839392 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3871552 1 3871552.0 3871552.0 3871552 3871552 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.3 4389472 1 4389472.0 4389472.0 4389472 4389472 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.3 4388736 1 4388736.0 4388736.0 4388736 4388736 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.0 3894304 1 3894304.0 3894304.0 3894304 3894304 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3906272 1 3906272.0 3906272.0 3906272 3906272 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3885952 1 3885952.0 3885952.0 3885952 3885952 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3858368 1 3858368.0 3858368.0 3858368 3858368 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3873760 1 3873760.0 3873760.0 3873760 3873760 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3874848 1 3874848.0 3874848.0 3874848 3874848 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3869216 1 3869216.0 3869216.0 3869216 3869216 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
3.2 5750240 1 5750240.0 5750240.0 5750240 5750240 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3884032 1 3884032.0 3884032.0 3884032 3884032 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3898976 1 3898976.0 3898976.0 3898976 3898976 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3868864 1 3868864.0 3868864.0 3868864 3868864 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3891360 1 3891360.0 3891360.0 3891360 3891360 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1980736 1 1980736.0 1980736.0 1980736 1980736 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3866784 1 3866784.0 3866784.0 3866784 3866784 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3876512 1 3876512.0 3876512.0 3876512 3876512 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3884544 1 3884544.0 3884544.0 3884544 3884544 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3882912 1 3882912.0 3882912.0 3882912 3882912 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3837312 1 3837312.0 3837312.0 3837312 3837312 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3869984 1 3869984.0 3869984.0 3869984 3869984 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.6 2884704 1 2884704.0 2884704.0 2884704 2884704 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3844992 1 3844992.0 3844992.0 3844992 3844992 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3870560 1 3870560.0 3870560.0 3870560 3870560 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3901472 1 3901472.0 3901472.0 3901472 3901472 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3884512 1 3884512.0 3884512.0 3884512 3884512 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3869344 1 3869344.0 3869344.0 3869344 3869344 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3894240 1 3894240.0 3894240.0 3894240 3894240 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3842816 1 3842816.0 3842816.0 3842816 3842816 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3838784 1 3838784.0 3838784.0 3838784 3838784 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3871264 1 3871264.0 3871264.0 3871264 3871264 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3877664 1 3877664.0 3877664.0 3877664 3877664 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
3.1 5779296 1 5779296.0 5779296.0 5779296 5779296 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3875904 1 3875904.0 3875904.0 3875904 3875904 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3859264 1 3859264.0 3859264.0 3859264 3859264 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3902560 1 3902560.0 3902560.0 3902560 3902560 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3876736 1 3876736.0 3876736.0 3876736 3876736 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3859680 1 3859680.0 3859680.0 3859680 3859680 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3904416 1 3904416.0 3904416.0 3904416 3904416 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3884864 1 3884864.0 3884864.0 3884864 3884864 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3882112 1 3882112.0 3882112.0 3882112 3882112 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3850784 1 3850784.0 3850784.0 3850784 3850784 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3872736 1 3872736.0 3872736.0 3872736 3872736 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3850112 1 3850112.0 3850112.0 3850112 3850112 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3885216 1 3885216.0 3885216.0 3885216 3885216 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3870816 1 3870816.0 3870816.0 3870816 3870816 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3875840 1 3875840.0 3875840.0 3875840 3875840 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3885440 1 3885440.0 3885440.0 3885440 3885440 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1980768 1 1980768.0 1980768.0 1980768 1980768 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3896288 1 3896288.0 3896288.0 3896288 3896288 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.6 2885504 1 2885504.0 2885504.0 2885504 2885504 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3887264 1 3887264.0 3887264.0 3887264 3887264 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2908640 1 2908640.0 2908640.0 2908640 2908640 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3859904 1 3859904.0 3859904.0 3859904 3859904 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3905152 1 3905152.0 3905152.0 3905152 3905152 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3887520 1 3887520.0 3887520.0 3887520 3887520 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3896928 1 3896928.0 3896928.0 3896928 3896928 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3873664 1 3873664.0 3873664.0 3873664 3873664 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3869408 1 3869408.0 3869408.0 3869408 3869408 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3874656 1 3874656.0 3874656.0 3874656 3874656 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3863776 1 3863776.0 3863776.0 3863776 3863776 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3854048 1 3854048.0 3854048.0 3854048 3854048 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3867936 1 3867936.0 3867936.0 3867936 3867936 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2923040 1 2923040.0 2923040.0 2923040 2923040 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3836704 1 3836704.0 3836704.0 3836704 3836704 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3896544 1 3896544.0 3896544.0 3896544 3896544 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3847520 1 3847520.0 3847520.0 3847520 3847520 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3883424 1 3883424.0 3883424.0 3883424 3883424 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3855072 1 3855072.0 3855072.0 3855072 3855072 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3845536 1 3845536.0 3845536.0 3845536 3845536 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3833440 1 3833440.0 3833440.0 3833440 3833440 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3876576 1 3876576.0 3876576.0 3876576 3876576 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3881056 1 3881056.0 3881056.0 3881056 3881056 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3859168 1 3859168.0 3859168.0 3859168 3859168 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3843360 1 3843360.0 3843360.0 3843360 3843360 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3865824 1 3865824.0 3865824.0 3865824 3865824 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3897632 1 3897632.0 3897632.0 3897632 3897632 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3901632 1 3901632.0 3901632.0 3901632 3901632 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3858304 1 3858304.0 3858304.0 3858304 3858304 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3892576 1 3892576.0 3892576.0 3892576 3892576 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3830912 1 3830912.0 3830912.0 3830912 3830912 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3866464 1 3866464.0 3866464.0 3866464 3866464 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3886400 1 3886400.0 3886400.0 3886400 3886400 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3882112 1 3882112.0 3882112.0 3882112 3882112 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3883968 1 3883968.0 3883968.0 3883968 3883968 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3889760 1 3889760.0 3889760.0 3889760 3889760 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3875616 1 3875616.0 3875616.0 3875616 3875616 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3886560 1 3886560.0 3886560.0 3886560 3886560 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3892192 1 3892192.0 3892192.0 3892192 3892192 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3842048 1 3842048.0 3842048.0 3842048 3842048 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3860160 1 3860160.0 3860160.0 3860160 3860160 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3918432 1 3918432.0 3918432.0 3918432 3918432 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1950720 1 1950720.0 1950720.0 1950720 1950720 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3856608 1 3856608.0 3856608.0 3856608 3856608 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3850208 1 3850208.0 3850208.0 3850208 3850208 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3861120 1 3861120.0 3861120.0 3861120 3861120 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3892672 1 3892672.0 3892672.0 3892672 3892672 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3878816 1 3878816.0 3878816.0 3878816 3878816 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3889792 1 3889792.0 3889792.0 3889792 3889792 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2901952 1 2901952.0 2901952.0 2901952 2901952 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3894272 1 3894272.0 3894272.0 3894272 3894272 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3871744 1 3871744.0 3871744.0 3871744 3871744 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3852000 1 3852000.0 3852000.0 3852000 3852000 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3915008 1 3915008.0 3915008.0 3915008 3915008 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3831296 1 3831296.0 3831296.0 3831296 3831296 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3842944 1 3842944.0 3842944.0 3842944 3842944 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3878016 1 3878016.0 3878016.0 3878016 3878016 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3864960 1 3864960.0 3864960.0 3864960 3864960 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3879808 1 3879808.0 3879808.0 3879808 3879808 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3900128 1 3900128.0 3900128.0 3900128 3900128 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3884768 1 3884768.0 3884768.0 3884768 3884768 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3889856 1 3889856.0 3889856.0 3889856 3889856 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3837856 1 3837856.0 3837856.0 3837856 3837856 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3857952 1 3857952.0 3857952.0 3857952 3857952 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3909920 1 3909920.0 3909920.0 3909920 3909920 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3884512 1 3884512.0 3884512.0 3884512 3884512 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3904320 1 3904320.0 3904320.0 3904320 3904320 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1979552 1 1979552.0 1979552.0 1979552 1979552 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2907712 1 2907712.0 2907712.0 2907712 2907712 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3918112 1 3918112.0 3918112.0 3918112 3918112 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2919456 1 2919456.0 2919456.0 2919456 2919456 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3879968 1 3879968.0 3879968.0 3879968 3879968 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3852064 1 3852064.0 3852064.0 3852064 3852064 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3873568 1 3873568.0 3873568.0 3873568 3873568 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3879968 1 3879968.0 3879968.0 3879968 3879968 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2901088 1 2901088.0 2901088.0 2901088 2901088 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3885152 1 3885152.0 3885152.0 3885152 3885152 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3823008 1 3823008.0 3823008.0 3823008 3823008 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3858528 1 3858528.0 3858528.0 3858528 3858528 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3872448 1 3872448.0 3872448.0 3872448 3872448 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1966816 1 1966816.0 1966816.0 1966816 1966816 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1987744 1 1987744.0 1987744.0 1987744 1987744 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3873824 1 3873824.0 3873824.0 3873824 3873824 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3875424 1 3875424.0 3875424.0 3875424 3875424 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2914272 1 2914272.0 2914272.0 2914272 2914272 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3879008 1 3879008.0 3879008.0 3879008 3879008 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3855040 1 3855040.0 3855040.0 3855040 3855040 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3864928 1 3864928.0 3864928.0 3864928 3864928 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3860352 1 3860352.0 3860352.0 3860352 3860352 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3872224 1 3872224.0 3872224.0 3872224 3872224 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2920416 1 2920416.0 2920416.0 2920416 2920416 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3875936 1 3875936.0 3875936.0 3875936 3875936 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3859392 1 3859392.0 3859392.0 3859392 3859392 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3842368 1 3842368.0 3842368.0 3842368 3842368 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3874048 1 3874048.0 3874048.0 3874048 3874048 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3895136 1 3895136.0 3895136.0 3895136 3895136 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3891872 1 3891872.0 3891872.0 3891872 3891872 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3887264 1 3887264.0 3887264.0 3887264 3887264 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3893024 1 3893024.0 3893024.0 3893024 3893024 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2917152 1 2917152.0 2917152.0 2917152 2917152 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3892480 1 3892480.0 3892480.0 3892480 3892480 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3882208 1 3882208.0 3882208.0 3882208 3882208 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3881792 1 3881792.0 3881792.0 3881792 3881792 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3893984 1 3893984.0 3893984.0 3893984 3893984 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3881056 1 3881056.0 3881056.0 3881056 3881056 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3884224 1 3884224.0 3884224.0 3884224 3884224 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3875744 1 3875744.0 3875744.0 3875744 3875744 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3885824 1 3885824.0 3885824.0 3885824 3885824 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
