0.0 30144 3 10048.0 10144.0 8608 11392 1394.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 10112.0 8192 11072 1466.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9888.0 8544 10944 1202.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28064 3 9354.7 8896.0 7680 11488 1945.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29568 3 9856.0 10112.0 8320 11136 1425.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 9600.0 7936 11648 1859.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30176 3 10058.7 9792.0 8576 11808 1632.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28160 3 9386.7 8736.0 8064 11360 1741.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28736 3 9578.7 9440.0 8224 11072 1429.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29664 3 9888.0 10112.0 8640 10912 1152.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 22048 3 7349.3 7520.0 6240 8288 1034.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9152.0 8608 11136 1330.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 9504.0 8544 11232 1362.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 9664.0 8032 11776 1877.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28928 3 9642.7 9536.0 7968 11424 1730.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28416 3 9472.0 8768.0 7872 11776 2045.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9632.0 8096 11680 1798.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29696 3 9898.7 9504.0 8480 11712 1651.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 9664.0 8608 11040 1219.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28064 3 9354.7 9760.0 7968 10336 1234.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28064 3 9354.7 8736.0 7904 11424 1839.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29504 3 9834.7 9920.0 7872 11712 1921.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 9536.0 7648 11680 2017.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 22368 3 7456.0 7488.0 6336 8544 1104.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28960 3 9653.3 9952.0 8096 10912 1431.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 9472.0 7968 11264 1650.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28608 3 9536.0 9504.0 7936 11168 1616.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28672 3 9557.3 9696.0 7680 11296 1812.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27968 3 9322.7 8800.0 8096 11072 1555.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28800 3 9600.0 9920.0 7744 11136 1718.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29568 3 9856.0 9312.0 8640 11616 1560.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29696 3 9898.7 10016.0 8576 11104 1268.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29728 3 9909.3 10176.0 7936 11616 1854.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 9632.0 8000 11680 1843.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28736 3 9578.7 9440.0 8096 11200 1556.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 16672 3 5557.3 5888.0 4000 6784 1421.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 9472.0 8608 11552 1513.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29920 3 9973.3 10144.0 8608 11168 1288.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28992 3 9664.0 9632.0 7680 11680 2000.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28992 3 9664.0 9664.0 7776 11552 1888.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29216 3 9738.7 10080.0 8000 11136 1595.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27776 3 9258.7 8832.0 8064 10880 1455.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 9792.0 7968 10944 1500.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29504 3 9834.7 9504.0 8832 11168 1202.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 9344.0 8704 11072 1224.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29984 3 9994.7 9664.0 8704 11616 1483.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28032 3 9344.0 9952.0 7744 10336 1398.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 10080.0 7904 11136 1648.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27904 3 9301.3 8704.0 7904 11296 1773.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 9728.0 8000 11424 1712.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28928 3 9642.7 8928.0 8576 11424 1552.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29536 3 9845.3 10016.0 7936 11584 1830.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28352 3 9450.7 9536.0 7680 11136 1729.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 21184 3 7061.3 7296.0 6304 7584 671.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28224 3 9408.0 9440.0 7904 10880 1488.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30208 3 10069.3 9952.0 8672 11584 1459.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 9568.0 8512 11200 1354.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 9408.0 8640 11072 1243.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 9984.0 7936 11680 1874.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28960 3 9653.3 9280.0 8544 11136 1335.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 9472.0 7808 11424 1809.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9696.0 7904 11648 1872.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29504 3 9834.7 10112.0 7744 11648 1966.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28576 3 9525.3 9408.0 7936 11232 1651.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27808 3 9269.3 8736.0 7936 11136 1665.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28576 3 9525.3 9504.0 7936 11136 1600.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28448 3 9482.7 9600.0 8032 10816 1395.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30240 3 10080.0 9824.0 8544 11872 1678.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 9472.0 8576 11584 1544.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 9472.0 8544 11328 1417.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 9696.0 8032 11744 1859.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9568.0 8288 11392 1559.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29984 3 9994.7 9664.0 8576 11744 1609.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29664 3 9888.0 9792.0 8224 11648 1714.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28544 3 9514.7 9440.0 8000 11104 1553.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 9440.0 7904 11680 1898.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29728 3 9909.3 10176.0 8224 11328 1569.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29216 3 9738.7 9568.0 8096 11552 1734.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 9472.0 8640 11072 1236.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 9504.0 8032 11488 1734.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 10144.0 7872 11136 1673.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30080 3 10026.7 10272.0 8576 11232 1344.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9504.0 8192 11712 1778.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9664.0 8192 11520 1667.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28896 3 9632.0 9408.0 7808 11680 1945.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 9888.0 8032 11392 1683.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27648 3 9216.0 9600.0 7744 10304 1322.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 10144.0 8064 10976 1499.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 9344.0 8672 11136 1273.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29696 3 9898.7 9856.0 8672 11168 1248.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28160 3 9386.7 9472.0 7680 11008 1665.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29792 3 9930.7 9440.0 8576 11776 1655.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28192 3 9397.3 9344.0 7744 11104 1680.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9408.0 8032 11808 1911.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29216 3 9738.7 9472.0 8640 11104 1253.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 9760.0 8512 11552 1528.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 10048.0 7968 11040 1567.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 9568.0 7872 11616 1874.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 10176.0 8064 11232 1613.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 9632.0 8576 11616 1543.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 9984.0 7904 11424 1769.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30112 3 10037.3 10240.0 8576 11296 1371.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28480 3 9493.3 10208.0 7968 10304 1321.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 10048.0 8320 10944 1333.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28480 3 9493.3 8736.0 7936 11808 2044.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28832 3 9610.7 9568.0 8896 10368 736.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28096 3 9365.3 9600.0 8064 10432 1201.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28672 3 9557.3 9600.0 8000 11072 1536.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28736 3 9578.7 9504.0 7648 11584 1969.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28288 3 9429.3 8896.0 7904 11488 1850.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 16864 3 5621.3 5440.0 4672 6752 1051.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29664 3 9888.0 9536.0 8608 11520 1487.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 9984.0 8160 11488 1666.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9792.0 7904 11552 1824.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28768 3 9589.3 9600.0 7712 11456 1872.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29792 3 9930.7 9920.0 8288 11584 1648.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27680 3 9226.7 8800.0 7904 10976 1579.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29920 3 9973.3 9664.0 8608 11648 1543.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27776 3 9258.7 8864.0 7808 11104 1683.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 9824.0 8224 11232 1505.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29504 3 9834.7 9664.0 8640 11200 1288.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 9440.0 8608 11552 1517.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 9632.0 8192 11648 1736.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 9600.0 8608 11392 1411.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 10048.0 8064 11136 1557.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29536 3 9845.3 10144.0 7680 11712 2032.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28768 3 9589.3 8928.0 8192 11648 1820.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28160 3 9386.7 8704.0 8160 11296 1675.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29728 3 9909.3 9696.0 8192 11840 1833.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 21152 3 7050.7 7456.0 6144 7552 786.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9696.0 7808 11584 1888.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 9600.0 8576 11136 1288.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29568 3 9856.0 9792.0 8640 11136 1249.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28672 3 9557.3 9664.0 7680 11328 1826.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 9632.0 8288 11136 1424.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29728 3 9909.3 9568.0 8544 11616 1564.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9632.0 8064 11712 1830.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29312 3 9770.7 10048.0 7936 11328 1712.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29088 3 9696.0 9728.0 7968 11392 1712.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9728.0 7968 11552 1792.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27968 3 9322.7 8768.0 8736 10464 988.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29472 3 9824.0 10176.0 8160 11136 1518.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28096 3 9365.3 10080.0 7808 10208 1350.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27680 3 9226.7 8640.0 7936 11104 1663.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28096 3 9365.3 9344.0 7584 11168 1792.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28576 3 9525.3 9440.0 7968 11168 1601.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29504 3 9834.7 9504.0 8704 11296 1327.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28544 3 9514.7 9600.0 7680 11264 1793.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 10176.0 8032 11616 1803.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 9792.0 8064 11328 1632.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 8928.0 8672 11104 1336.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28960 3 9653.3 9696.0 8160 11104 1472.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29568 3 9856.0 9888.0 7936 11744 1904.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29536 3 9845.3 9632.0 8064 11840 1897.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9632.0 8576 11200 1320.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28032 3 9344.0 8704.0 7648 11680 2090.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 9472.0 8576 11584 1544.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 9504.0 8576 11264 1365.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28544 3 9514.7 9600.0 7904 11040 1569.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 9792.0 8032 11296 1633.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 10176.0 7904 11200 1686.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28192 3 9397.3 10112.0 7808 10272 1378.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29888 3 9962.7 10176.0 7968 11744 1897.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28640 3 9546.7 8864.0 8576 11200 1439.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29344 3 9781.3 9504.0 8672 11168 1270.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29376 3 9792.0 9696.0 8544 11136 1298.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30464 3 10154.7 10208.0 8640 11616 1488.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 22112 3 7370.7 7424.0 6240 8448 1105.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 9536.0 8224 10752 1264.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27872 3 9290.7 8768.0 8096 11008 1524.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 9792.0 7904 11008 1564.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 9792.0 7936 11392 1729.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28384 3 9461.3 8768.0 8544 11072 1399.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28832 3 9610.7 9376.0 7936 11520 1803.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29728 3 9909.3 9504.0 8608 11616 1544.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29888 3 9962.7 10208.0 7968 11712 1884.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30112 3 10037.3 10240.0 8608 11264 1339.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29216 3 9738.7 9504.0 8000 11712 1867.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29568 3 9856.0 10336.0 7936 11296 1730.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29440 3 9813.3 10208.0 8160 11072 1495.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 10080.0 7936 11584 1833.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28512 3 9504.0 9504.0 7936 11072 1568.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29632 3 9877.3 9600.0 8384 11648 1649.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 9824.0 8032 11744 1856.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 21216 3 7072.0 7456.0 6240 7520 721.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28768 3 9589.3 9376.0 7904 11488 1801.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 9568.0 8288 11296 1509.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28992 3 9664.0 9472.0 8352 11168 1417.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28640 3 9546.7 9600.0 7616 11424 1904.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9568.0 8512 11328 1422.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 9632.0 8000 11488 1745.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29568 3 9856.0 10112.0 8096 11360 1647.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29888 3 9962.7 9600.0 8512 11776 1661.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29120 3 9706.7 9376.0 8032 11712 1862.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29856 3 9952.0 9600.0 8576 11680 1581.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27200 3 9066.7 9376.0 7648 10176 1292.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29408 3 9802.7 9664.0 8640 11104 1237.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29696 3 9898.7 10048.0 8576 11072 1254.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28000 3 9333.3 8768.0 7712 11520 1965.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29152 3 9717.3 9344.0 8128 11680 1805.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 27168 3 9056.0 8896.0 8032 10240 1112.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 9536.0 8448 11072 1318.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28608 3 9536.0 9568.0 8032 11008 1488.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30144 3 10048.0 10048.0 8384 11712 1664.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 9760.0 8096 11328 1616.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28448 3 9482.7 9632.0 7584 11232 1828.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 9408.0 8672 11744 1603.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28352 3 9450.7 9600.0 7648 11104 1732.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28864 3 9621.3 9760.0 8000 11104 1556.6 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29056 3 9685.3 9952.0 8096 11008 1474.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30368 3 10122.7 10144.0 8576 11648 1536.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 9568.0 7776 11680 1954.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 9504.0 7936 11264 1664.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29760 3 9920.0 9600.0 8640 11520 1466.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 21792 3 7264.0 7168.0 6208 8416 1107.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28640 3 9546.7 9504.0 8096 11040 1472.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28800 3 9600.0 9568.0 8160 11072 1456.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28672 3 9557.3 9600.0 8032 11040 1504.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28224 3 9408.0 8896.0 8608 10720 1145.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29664 3 9888.0 9600.0 8768 11296 1288.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29440 3 9813.3 9600.0 8160 11680 1769.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29696 3 9898.7 9536.0 8512 11648 1599.1 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30176 3 10058.7 10176.0 8416 11584 1587.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29600 3 9866.7 9312.0 8480 11808 1731.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29760 3 9920.0 10080.0 8480 11200 1367.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29568 3 9856.0 10080.0 8384 11104 1373.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 9536.0 7968 11680 1863.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29184 3 9728.0 9600.0 7936 11648 1859.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28768 3 9589.3 9920.0 7968 10880 1483.9 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29280 3 9760.0 9504.0 8032 11744 1869.2 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 9504.0 8576 11168 1313.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28384 3 9461.3 9664.0 7648 11072 1721.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28224 3 9408.0 9408.0 7680 11136 1728.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30080 3 10026.7 9984.0 8576 11520 1472.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 30176 3 10058.7 10400.0 8608 11168 1313.7 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29824 3 9941.3 9600.0 8608 11616 1532.8 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29856 3 9952.0 9952.0 8608 11296 1344.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28704 3 9568.0 10144.0 7680 10880 1676.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28608 3 9536.0 9632.0 7968 11008 1522.3 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29248 3 9749.3 10112.0 7968 11168 1630.5 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28800 3 9600.0 9600.0 8000 11200 1600.0 CUDA_KERNEL lud_internal(float *, int, int)
0.0 29024 3 9674.7 9472.0 7936 11616 1848.4 CUDA_KERNEL lud_internal(float *, int, int)
0.0 28928 3 9642.7 9568.0 8160 11200 1521.4 CUDA_KERNEL lud_internal(float *, int, int)
