16.0 88331584 100 883315.8 883392.0 881376 884704 630.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88330528 100 883305.3 883376.0 881280 885056 795.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13.3 63952576 100 639525.8 445440.0 441760 884992 218632.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13.5 62646208 100 626462.1 478400.0 469024 884416 197829.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88319168 100 883191.7 883168.0 881600 884704 727.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.4 45022528 100 450225.3 450048.0 447968 453984 1113.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.4 72684992 100 726849.9 882864.0 442048 884992 205547.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88324768 100 883247.7 883200.0 881600 885408 740.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88311840 100 883118.4 883072.0 881216 887936 890.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 83099008 100 830990.1 883312.0 444992 884864 142632.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.1 81456416 100 814564.2 883184.0 474464 885088 152407.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88327520 100 883275.2 883264.0 881888 885056 657.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88323136 100 883231.4 883248.0 881504 884800 744.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88317248 100 883172.5 883168.0 881024 884896 741.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88314112 100 883141.1 883184.0 881536 884512 657.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88317952 100 883179.5 883200.0 881376 884768 732.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88313856 100 883138.6 883120.0 881856 884992 700.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12.7 56268064 100 562680.6 444192.0 441504 884864 196032.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88330656 100 883306.6 883264.0 881728 885088 708.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.2 69025344 100 690253.4 882512.0 442272 884960 219073.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 83990912 100 839909.1 883008.0 444832 884832 130214.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.9 78968032 100 789680.3 882816.0 472448 885088 170631.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88336064 100 883360.6 883328.0 881632 884992 724.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88317664 100 883176.6 883184.0 881536 884768 724.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88338688 100 883386.9 883488.0 881760 884640 702.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.2 88321280 100 883212.8 883264.0 881952 884736 647.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88329152 100 883291.5 883264.0 881568 884544 643.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13.0 58176896 100 581769.0 463200.0 447040 884480 193290.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88338112 100 883381.1 883360.0 881952 884960 725.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 82183616 100 821836.2 882976.0 472160 884864 144912.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.2 88140992 100 881409.9 881536.0 879968 883040 662.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88318624 100 883186.2 883072.0 881312 884992 747.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88318592 100 883185.9 883136.0 881760 884768 641.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88326848 100 883268.5 883296.0 881280 885440 760.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 87483840 100 874838.4 883296.0 459744 884608 59601.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88328544 100 883285.4 883360.0 881632 885376 742.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88320288 100 883202.9 883232.0 881472 885120 731.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 85408448 100 854084.5 883312.0 446144 884928 107853.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 88314624 100 883146.2 883120.0 881312 884960 704.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88246144 100 882461.4 882672.0 879744 884416 995.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 87001536 100 870015.4 883056.0 446304 884608 74765.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88287872 100 882878.7 882944.0 880352 884864 941.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.0 82447872 100 824478.7 883280.0 445280 885824 148486.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88321408 100 883214.1 883168.0 881248 885120 768.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 83283712 100 832837.1 883120.0 458144 885312 137114.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.4 69179488 100 691794.9 882032.0 469344 884352 204163.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88319264 100 883192.6 883232.0 881120 884992 756.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88305792 100 883057.9 883072.0 881280 884896 681.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88347328 100 883473.3 883504.0 881504 885344 721.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88325536 100 883255.4 883200.0 880736 884640 634.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88326816 100 883268.2 883328.0 881568 884704 673.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88335456 100 883354.6 883248.0 881472 885440 668.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 81439328 100 814393.3 882944.0 471744 884896 152672.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88321600 100 883216.0 883248.0 881728 884800 654.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 80044032 100 800440.3 883008.0 472480 884704 162306.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.9 50308416 100 503084.2 451248.0 441760 881792 132387.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12.5 54902016 100 549020.2 475120.0 444832 884032 168000.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88285760 100 882857.6 882928.0 879744 885056 1020.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12.5 53249760 100 532497.6 443392.0 441504 884512 166042.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88319296 100 883193.0 883328.0 881376 884640 690.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13.6 64184800 100 641848.0 479152.0 470528 885056 199498.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.2 44329600 100 443296.0 443216.0 441600 447936 1029.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.4 44276128 100 442761.3 442768.0 441664 443808 464.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 85388928 100 853889.3 883200.0 445664 884640 108156.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 87831008 100 878310.1 882576.0 451200 884896 43154.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88317152 100 883171.5 883200.0 880640 885280 777.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.1 80481696 100 804817.0 883120.0 445248 885536 168454.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.1 80908928 100 809089.3 883088.0 445216 884736 164734.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 80479360 100 804793.6 883232.0 444768 885344 168565.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88318720 100 883187.2 883168.0 881632 884800 694.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88300256 100 883002.6 882960.0 881056 884544 679.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88330304 100 883303.0 883296.0 881728 885408 716.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88324608 100 883246.1 883200.0 881632 884704 758.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88312352 100 883123.5 883088.0 881568 884960 647.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88327712 100 883277.1 883248.0 880832 885472 797.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88336576 100 883365.8 883456.0 881536 885696 764.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88341952 100 883419.5 883504.0 881536 885344 769.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 80135616 100 801356.2 882848.0 444736 884320 169870.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 82953600 100 829536.0 883056.0 471520 884704 137145.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 85603456 100 856034.6 883200.0 446144 884672 104430.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88314144 100 883141.4 883104.0 881792 884736 654.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 81047168 100 810471.7 883024.0 473056 884672 156100.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88308640 100 883086.4 882960.0 881696 885120 700.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88330208 100 883302.1 883328.0 880864 884480 597.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88318688 100 883186.9 883232.0 881792 884896 674.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.2 88277312 100 882773.1 882928.0 880000 884640 1134.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.1 44281216 100 442812.2 442784.0 441760 443936 482.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 87543744 100 875437.4 883440.0 478272 885504 56461.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88335968 100 883359.7 883328.0 881248 884896 702.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.2 88309216 100 883092.2 883104.0 881632 884736 674.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88313952 100 883139.5 883040.0 881248 884928 725.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12.2 44191168 100 441911.7 441904.0 441248 442848 373.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13.6 61356896 100 613569.0 475776.0 446560 884800 198907.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88343520 100 883435.2 883376.0 882080 885280 731.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 83090464 100 830904.6 883152.0 444224 885088 142635.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88298624 100 882986.2 882928.0 881472 886240 794.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88335040 100 883350.4 883296.0 881312 884928 772.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88308672 100 883086.7 883056.0 881120 884576 649.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 81166336 100 811663.4 882960.0 445344 884640 160798.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88345856 100 883458.6 883408.0 881696 885344 764.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 80701248 100 807012.5 883104.0 457344 885376 162088.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88346912 100 883469.1 883360.0 881856 885216 668.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88339712 100 883397.1 883376.0 881248 885088 798.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 81791488 100 817914.9 883120.0 472000 884640 148790.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88349024 100 883490.2 883424.0 881888 885056 692.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88146208 100 881462.1 881440.0 879936 882912 682.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88326976 100 883269.8 883184.0 881408 885760 752.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88338816 100 883388.2 883424.0 881600 885088 744.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88331520 100 883315.2 883328.0 881184 884928 664.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88330688 100 883306.9 883296.0 881472 885408 667.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88141280 100 881412.8 881424.0 879776 883072 706.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12.7 55626112 100 556261.1 460688.0 443232 884704 178495.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88341248 100 883412.5 883312.0 882144 885376 710.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 82652736 100 826527.4 883168.0 445216 884960 147738.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88361184 100 883611.8 883632.0 882240 885056 686.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 82744096 100 827441.0 883344.0 450496 885344 145753.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.2 44293152 100 442931.5 442848.0 441888 443968 430.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88318048 100 883180.5 883120.0 881376 885312 792.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 84691232 100 846912.3 883280.0 471296 884832 116212.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 82258464 100 822584.6 882880.0 445728 884736 150741.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.7 47575680 100 475756.8 445296.0 442880 884000 103773.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
14.3 70260896 100 702609.0 882688.0 441952 885440 208566.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 84099136 100 840991.4 883168.0 445376 884960 128298.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88335936 100 883359.4 883408.0 881120 885120 764.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88327808 100 883278.1 883248.0 881344 884960 772.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88327584 100 883275.8 883280.0 881536 884640 705.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88317504 100 883175.0 883168.0 881312 884768 694.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88327808 100 883278.1 883232.0 881856 884704 703.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88321664 100 883216.6 883264.0 881120 885184 718.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88329792 100 883297.9 883328.0 881824 885216 700.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 84262752 100 842627.5 883120.0 471104 884768 122302.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.0 44295488 100 442954.9 442960.0 442080 444000 399.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88280480 100 882804.8 883040.0 880224 885344 1115.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88322720 100 883227.2 883200.0 881952 884832 562.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.5 46225088 100 462250.9 453472.0 447200 482144 12447.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 69108128 100 691081.3 662496.0 660864 882656 74176.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 88301856 100 883018.6 882976.0 881280 885088 709.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88329024 100 883290.2 883328.0 881760 884608 641.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
13.3 61478752 100 614787.5 474896.0 443904 884128 198349.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88305568 100 883055.7 883008.0 881536 884800 703.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 86941280 100 869412.8 883200.0 445888 884832 75016.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 79003648 100 790036.5 882800.0 445600 884896 178151.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88352224 100 883522.2 883520.0 881984 885344 692.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 83538976 100 835389.8 883344.0 445344 885152 137295.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88345312 100 883453.1 883488.0 881440 884832 676.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88349888 100 883498.9 883520.0 881696 885632 755.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88360128 100 883601.3 883616.0 881760 885216 729.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.2 87722240 100 877222.4 881536.0 662304 883584 30726.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88304544 100 883045.4 883040.0 881120 884544 767.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88320416 100 883204.2 883152.0 881472 885152 710.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
12.2 49774304 100 497743.0 450320.0 441792 883008 135654.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88321664 100 883216.6 883184.0 881376 884960 761.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88324704 100 883247.0 883264.0 881376 884992 721.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.2 80296864 100 802968.6 882944.0 458976 884832 165944.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88304896 100 883049.0 883008.0 881408 884928 707.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88323936 100 883239.4 883184.0 881280 884928 702.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88289728 100 882897.3 882864.0 881632 884384 647.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 82289920 100 822899.2 883328.0 473280 885120 144966.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88334848 100 883348.5 883472.0 881504 884992 709.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88344416 100 883444.2 883504.0 881888 885120 744.3 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88330496 100 883305.0 883424.0 881248 885472 806.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88253984 100 882539.8 882800.0 879552 885920 1220.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.1 81348352 100 813483.5 883040.0 445696 884800 160551.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88323040 100 883230.4 883264.0 881184 884928 686.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.3 88347456 100 883474.6 883328.0 881728 885568 824.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88345792 100 883457.9 883456.0 881664 885280 622.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88305248 100 883052.5 882912.0 881184 884928 792.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.6 88325088 100 883250.9 883264.0 881696 885152 785.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.5 88301408 100 883014.1 883136.0 881248 884896 734.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.2 88248608 100 882486.1 882720.0 879424 885024 1226.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88331520 100 883315.2 883344.0 881696 884960 704.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88338912 100 883389.1 883440.0 881664 885088 730.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.4 82687616 100 826876.2 882992.0 458880 884928 142646.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88327008 100 883270.1 883184.0 881824 884800 641.0 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.1 44274560 100 442745.6 442720.0 441568 443904 395.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.9 88323072 100 883230.7 883168.0 881632 885248 753.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
