5.0 27722944 200 138614.7 137888.0 42688 235680 95691.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 25347296 200 126736.5 82768.0 26176 236576 91925.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25557408 200 127787.0 83856.0 25568 235520 92662.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25347104 200 126735.5 84240.0 26112 235552 91927.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27764544 200 138822.7 137824.0 43168 235520 95316.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27747584 200 138737.9 137552.0 42720 236320 95570.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27757248 200 138786.2 139120.0 43136 235712 95325.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27707072 200 138535.4 137552.0 42688 235904 95664.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27787744 200 138938.7 140224.0 43168 236096 95455.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27771104 200 138855.5 139088.0 43232 236256 95319.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27699648 200 138498.2 138608.0 42656 235328 95536.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27777440 200 138887.2 138704.0 43200 235712 95366.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25283008 200 126415.0 82896.0 25568 235648 92170.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26100448 200 130502.2 86816.0 27072 235840 92904.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26873952 200 134369.8 83920.0 26144 235776 94305.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27711072 200 138555.4 138112.0 42592 235744 95636.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25464352 200 127321.8 86960.0 26848 235136 91794.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27726432 200 138632.2 137728.0 42784 235552 95627.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27724416 200 138622.1 138176.0 42688 235616 95580.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27755360 200 138776.8 138848.0 43264 235872 95228.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27536192 200 137681.0 137152.0 39072 235904 95608.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.5 14098144 200 70490.7 70656.0 21408 120480 48773.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27549504 200 137747.5 88832.0 27584 235712 95066.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27778144 200 138890.7 138016.0 43264 235680 95450.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27769696 200 138848.5 138400.0 43296 235552 95308.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27763616 200 138818.1 138496.0 43136 235232 95386.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.8 13893376 200 69466.9 69552.0 21376 118272 47950.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.3 19447392 200 97237.0 81616.0 21984 235296 76074.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27718624 200 138593.1 138608.0 42912 235520 95448.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26243328 200 131216.6 82976.0 26176 235680 93318.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27724544 200 138622.7 138272.0 42656 235616 95656.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27713248 200 138566.2 138208.0 42848 235520 95549.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27711456 200 138557.3 137488.0 42624 235584 95530.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25555072 200 127775.4 82896.0 25664 235648 92546.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 28190912 200 140954.6 141104.0 43200 238656 96218.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25380576 200 126902.9 85376.0 26016 235520 92044.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27743904 200 138719.5 138576.0 42816 235456 95669.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27723040 200 138615.2 137968.0 42880 235360 95492.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 25759040 200 128795.2 87056.0 27232 235616 92236.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27762080 200 138810.4 138288.0 43232 235936 95419.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27108512 200 135542.6 135840.0 39040 231968 95127.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27777952 200 138889.8 137872.0 43264 235584 95362.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27753216 200 138766.1 138144.0 43168 235456 95379.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27753472 200 138767.4 139040.0 43136 236448 95392.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27727456 200 138637.3 138096.0 42720 236320 95673.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26961536 200 134807.7 134272.0 38720 232160 95766.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.0 17609056 200 88045.3 81952.0 21824 234656 68581.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27770816 200 138854.1 140992.0 43040 235680 95402.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 25915680 200 129578.4 82848.0 25568 236672 93261.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27731360 200 138656.8 139088.0 42656 235616 95641.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 26092864 200 130464.3 84288.0 25984 235968 93354.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14124544 200 70622.7 70496.0 21664 120512 48632.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27695232 200 138476.2 138608.0 42752 234976 95376.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26705536 200 133527.7 88192.0 26976 236256 93794.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25962080 200 129810.4 82912.0 26080 235424 92985.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.7 15197824 200 75989.1 80848.0 21440 235456 54687.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.6 22379776 200 111898.9 82480.0 21696 235520 84399.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26445856 200 132229.3 83168.0 25664 235424 94008.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27734208 200 138671.0 138080.0 43168 235392 95198.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27761664 200 138808.3 138240.0 43104 235328 95353.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27861184 200 139305.9 139280.0 43168 235808 94691.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27712704 200 138563.5 138256.0 42784 235872 95508.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27905696 200 139528.5 139872.0 43104 235232 94801.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27721056 200 138605.3 138096.0 42944 235648 95499.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27741344 200 138706.7 138128.0 42912 235776 95595.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26424512 200 132122.6 86240.0 26720 235584 93700.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.5 14070784 200 70353.9 70144.0 21632 119840 48408.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27505824 200 137529.1 137344.0 38848 235872 95667.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27774880 200 138874.4 138160.0 43200 235584 95342.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.7 14784032 200 73920.2 71760.0 21728 194816 51740.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 21675040 200 108375.2 107824.0 32512 232864 75925.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27741408 200 138707.0 138368.0 42816 235744 95583.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27774816 200 138874.1 138720.0 43200 235648 95431.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.2 19549504 200 97747.5 82992.0 21952 235456 76534.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27726592 200 138633.0 137552.0 42848 235520 95587.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27238208 200 136191.0 82672.0 25856 236000 95019.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 24964736 200 124823.7 83376.0 26112 235392 91201.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27719104 200 138595.5 137984.0 42720 235360 95530.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 26191200 200 130956.0 83296.0 25728 235936 93492.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27743008 200 138715.0 137616.0 42912 235424 95594.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27739648 200 138698.2 140480.0 42976 235200 95326.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27785152 200 138925.8 138080.0 43168 235808 95405.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 26967872 200 134839.4 108832.0 32480 232544 95511.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27709536 200 138547.7 138400.0 42784 235456 95496.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27711488 200 138557.4 137872.0 42720 236032 95617.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.9 15837184 200 79185.9 78864.0 21472 230784 60392.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27706048 200 138530.2 138096.0 42720 235328 95509.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27727520 200 138637.6 137792.0 42752 236928 95572.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25287008 200 126435.0 85360.0 26624 235648 91594.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27697120 200 138485.6 137920.0 42912 235040 95338.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27739200 200 138696.0 138720.0 43072 235616 95254.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27773312 200 138866.6 138800.0 43232 236064 95321.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25957920 200 129789.6 88096.0 26816 235840 92866.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27749280 200 138746.4 137808.0 43232 235968 95268.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27750784 200 138753.9 138128.0 43264 235616 95358.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27716576 200 138582.9 138224.0 42752 235648 95609.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27505440 200 137527.2 137568.0 39200 235456 95341.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25620992 200 128105.0 83968.0 26208 235936 92208.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27780192 200 138901.0 139328.0 43136 236192 95476.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 28252576 200 141262.9 142224.0 42752 240224 97069.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27736256 200 138681.3 137648.0 42816 235424 95633.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27861984 200 139309.9 140384.0 42656 235712 95062.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27730240 200 138651.2 137744.0 42976 236128 95477.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27737760 200 138688.8 138432.0 43264 234720 95149.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27503808 200 137519.0 136464.0 39168 235488 95415.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27778208 200 138891.0 137888.0 43200 236160 95425.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27725344 200 138626.7 138304.0 42720 236160 95662.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26049184 200 130245.9 85872.0 26624 235872 92998.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27732064 200 138660.3 139264.0 42688 236352 95627.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.5 14086272 200 70431.4 70208.0 21440 120224 48678.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27741632 200 138708.2 137824.0 43136 235744 95254.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25335904 200 126679.5 82816.0 26080 235968 91934.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27788704 200 138943.5 138928.0 43232 235776 95397.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27733248 200 138666.2 140416.0 42688 235936 95645.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27004736 200 135023.7 135664.0 39104 232896 95544.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27793856 200 138969.3 139408.0 43232 239424 95492.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26389280 200 131946.4 87200.0 26528 235136 93643.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27776448 200 138882.2 139104.0 43232 235904 95325.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27771136 200 138855.7 137440.0 43168 235808 95322.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27756832 200 138784.2 138944.0 42816 235808 95617.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27678080 200 138390.4 138528.0 42656 234656 95437.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27723968 200 138619.8 138400.0 42752 235648 95553.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27722112 200 138610.6 138864.0 42784 235680 95610.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25996032 200 129980.2 86592.0 27200 235488 92651.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 25874752 200 129373.8 87280.0 27296 235520 92199.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.8 15614496 200 78072.5 79376.0 21632 230848 58270.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 25638464 200 128192.3 83440.0 26240 235616 92224.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25299776 200 126498.9 82976.0 25760 235776 92094.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27662560 200 138312.8 137264.0 42656 234848 95424.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27715840 200 138579.2 137936.0 42752 235680 95606.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 20726144 200 103630.7 103232.0 32064 176768 71470.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27781632 200 138908.2 138224.0 43200 235424 95447.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27728992 200 138645.0 138080.0 42784 235648 95627.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25593600 200 127968.0 83136.0 26080 236192 92433.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27731552 200 138657.8 137824.0 42944 235712 95513.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27766368 200 138831.8 138496.0 43136 235840 95405.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26656352 200 133281.8 87776.0 26784 235616 93989.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27721312 200 138606.6 138960.0 42720 235968 95624.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27792384 200 138961.9 139104.0 43296 235808 95376.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 26611744 200 133058.7 87376.0 27328 236064 93739.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27771104 200 138855.5 138288.0 43200 235616 95415.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25266336 200 126331.7 88272.0 27072 235392 91249.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27757536 200 138787.7 139088.0 43232 235648 95239.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25297056 200 126485.3 82768.0 25664 235584 92213.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27758752 200 138793.8 137696.0 43072 235360 95397.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27740992 200 138705.0 138752.0 42720 235712 95645.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27696896 200 138484.5 137872.0 42560 235904 95618.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27775072 200 138875.4 138896.0 43136 235680 95415.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27706912 200 138534.6 138768.0 42784 238624 95462.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27769472 200 138847.4 137712.0 43232 236128 95401.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.5 14135200 200 70676.0 70576.0 21632 120256 48646.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27758400 200 138792.0 138800.0 43168 235872 95332.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 24691872 200 123459.4 83136.0 26048 236032 90784.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26933280 200 134666.4 87104.0 26912 235712 94240.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27771936 200 138859.7 138304.0 43200 235872 95365.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 24875520 200 124377.6 82656.0 25728 234944 91237.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27720896 200 138604.5 137888.0 42784 235872 95566.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27704832 200 138524.2 137616.0 42752 235936 95605.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14735104 200 73675.5 80672.0 21472 234240 51951.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27741312 200 138706.6 137760.0 43168 235200 95229.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27751648 200 138758.2 138336.0 42880 235584 95525.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27766240 200 138831.2 138816.0 43104 235936 95377.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14074272 200 70371.4 69952.0 21440 120480 48605.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27729376 200 138646.9 138208.0 42784 235936 95526.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26107296 200 130536.5 83872.0 26112 235424 93211.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27741280 200 138706.4 138624.0 43200 234720 95190.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27774144 200 138870.7 138480.0 43136 235456 95395.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27403168 200 137015.8 136736.0 39200 235328 95476.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27724128 200 138620.6 138368.0 43104 235584 95150.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27727520 200 138637.6 137968.0 42816 236032 95590.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 24937472 200 124687.4 84336.0 25760 236672 91330.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27710048 200 138550.2 138976.0 42720 235968 95485.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27740800 200 138704.0 138224.0 42912 235648 95523.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.5 14115936 200 70579.7 71568.0 21408 125408 48795.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27740960 200 138704.8 137744.0 42880 235904 95605.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.5 14103648 200 70518.2 69680.0 21664 120736 48583.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27782304 200 138911.5 139440.0 43168 236352 95440.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27743456 200 138717.3 138240.0 42880 236032 95560.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25887584 200 129437.9 87248.0 27136 235584 92564.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27767680 200 138838.4 137680.0 43264 235488 95287.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27687264 200 138436.3 138704.0 42720 235168 95462.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27728096 200 138640.5 137632.0 42688 235936 95695.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27759264 200 138796.3 139120.0 43168 235424 95357.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27752224 200 138761.1 137824.0 43168 235616 95351.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27703072 200 138515.4 138464.0 42752 235456 95469.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25105280 200 125526.4 83408.0 25888 235520 91589.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27726848 200 138634.2 138176.0 42720 235872 95606.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14325664 200 71628.3 71776.0 21664 122432 49610.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 25820384 200 129101.9 83344.0 25664 235296 93005.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27762752 200 138813.8 139360.0 43264 235616 95267.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25320256 200 126601.3 88608.0 27168 235936 91438.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27701184 200 138505.9 138080.0 42720 235712 95575.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27735968 200 138679.8 138640.0 42848 236096 95658.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27738688 200 138693.4 137728.0 42784 235840 95617.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25662304 200 128311.5 83024.0 25696 235424 92769.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27769824 200 138849.1 138336.0 43232 235424 95334.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27737184 200 138685.9 137600.0 42752 236064 95633.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27704384 200 138521.9 138592.0 42816 235072 95457.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27764768 200 138823.8 137472.0 43264 236256 95283.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27767776 200 138838.9 138272.0 43136 235520 95401.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25777280 200 128886.4 88048.0 27104 236096 92263.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25425504 200 127127.5 83728.0 26016 235072 91952.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.9 16272544 200 81362.7 81056.0 21824 231936 60048.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27740992 200 138705.0 139104.0 42720 236064 95614.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27770304 200 138851.5 138000.0 43232 235616 95280.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27720896 200 138604.5 140272.0 42688 235392 95549.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27758944 200 138794.7 138640.0 43200 235328 95327.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27724544 200 138622.7 139264.0 42720 235328 95593.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27760544 200 138802.7 137712.0 43232 236512 95210.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26190624 200 130953.1 83120.0 25696 235616 93674.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27767744 200 138838.7 139168.0 43232 235872 95297.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27628352 200 138141.8 92784.0 26272 243488 95812.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 25371264 200 126856.3 87136.0 26528 235584 91714.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27755776 200 138778.9 138720.0 42880 235680 95536.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25993088 200 129965.4 85776.0 26272 235744 93052.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26037056 200 130185.3 86960.0 26752 235712 92978.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 25322464 200 126612.3 83040.0 26080 235616 91811.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27760192 200 138801.0 138272.0 43200 235616 95341.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27783296 200 138916.5 138592.0 43264 235616 95381.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27733088 200 138665.4 138928.0 42784 235936 95555.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26198400 200 130992.0 87568.0 26688 235776 93264.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27764480 200 138822.4 137552.0 43136 235680 95313.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25471360 200 127356.8 83872.0 25824 235424 92381.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27746272 200 138731.4 137792.0 42880 235520 95583.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27747328 200 138736.6 138192.0 43232 235392 95238.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 26053824 200 130269.1 82624.0 25664 235712 93482.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27722944 200 138614.7 138288.0 42752 235808 95675.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27710752 200 138553.8 137984.0 42720 236608 95647.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27785248 200 138926.2 138768.0 43264 235776 95440.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25309152 200 126545.8 83184.0 25664 235808 92098.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14079776 200 70398.9 70096.0 21376 120448 48711.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27108864 200 135544.3 83744.0 26272 235488 94530.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.9 15502400 200 77512.0 79408.0 21472 231168 57416.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27701376 200 138506.9 138640.0 42816 235872 95372.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27477664 200 137388.3 136192.0 39200 235296 95272.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27724160 200 138620.8 138096.0 42880 235424 95515.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27736480 200 138682.4 138800.0 42880 236512 95508.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27738496 200 138692.5 138688.0 42816 235904 95589.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.5 14277792 200 71389.0 72080.0 21440 124160 48629.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25780672 200 128903.4 83904.0 25600 235328 92915.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27688896 200 138444.5 138480.0 42720 235328 95431.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
